"ID","Description","Account type","DIMLIST","DRCRRECLASS","Offset account used in US Eliminations","EQUITYRCLS","EVDES_ENG","FA_01","FA_02","FA_03","FA_04","FA_05","FA_XX","INTERCO","MISC_CHECK","Rate type","RECLASS250","RECLASS253","RECLASS256","RECLASS258","RECLASS264","RECLASS265","RECLASS266","Scaling","Elimination Code","H1"
"27100501","GR/IR Clear Acct  FX Revaluation","LEQ","","","","","GR/IR Clear Acct  FX Revaluation","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100502","Consigned Liability FX Revaluation","LEQ","","","","","Consigned Liability FX Revaluation","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27103003","Suspense Account Travel","LEQ","","","","","Suspense Account Travel","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27104000","Trade Payables Manual Adjusting entries","LEQ","","","","","Trade Payables Manual Adjusting entries","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27104001","Trade Payables Difference Account","LEQ","","","","","Trade Payables Difference Account","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27105002","Accounts Payable JV Clearing","LEQ","","","","","Accounts Payable JV Clearing","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27105003","Payables for Outstanding invoices","LEQ","","","","","Payables for Outstanding invoices","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27109000","Trade Payables - Reconciliation Account","LEQ","","","","","Trade Payables - Reconciliation Account","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27109000_L53","Trade Payables - Reconciliation Account","AST","","","","","Trade Payables - Reconciliation Account","","","","","","","","","ENDDE","","","","","","","","","","L53_OTHERASSETS"
"27109001","Employee Payables - Reconciliation Account","LEQ","","","","","Employee Payables - Reconciliation Account","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
